Courant;Position;Vitesse 
2144;0;65535 
2076;0;65535 
2481;0;65535 
2763;0;65535 
2763;0;65535 
2763;0;65535 
2638;1;65535 
2321;1;65535 
2252;1;65535 
2053;1;65535 
2387;1;65535 
2532;2;65535 
2532;2;65535 
2286;2;65535 
2335;2;65535 
2395;2;65535 
2133;2;65535 
2133;2;65535 
2038;2;65535 
2422;3;1976 
2371;3;1976 
2513;3;1976 
2513;3;1976 
2513;3;1976 
2513;4;1976 
2513;4;1976 
2309;4;1976 
2155;5;1976 
2469;5;1976 
2504;6;1976 
2333;6;1976 
2317;6;1976 
2258;6;1976 
2501;6;1976 
2141;7;1793 
2141;7;1793 
2141;7;1793 
2141;8;1793 
2141;8;1793 
2141;9;1793 
2213;9;1793 
2442;9;1793 
2493;10;1793 
2519;10;1793 
2623;10;1793 
2534;10;1793 
2519;11;1427 
2402;11;1427 
2101;12;1427 
2101;12;1427 
2101;13;1427 
2018;13;1427 
2325;14;1427 
2249;14;1427 
2063;14;1427 
2573;14;1427 
144;15;1197 
144;15;1197 
2206;16;1197 
2299;16;1197 
1770;17;1197 
2267;17;1197 
1888;18;1197 
2109;18;1197 
2425;18;1197 
2335;19;1037 
1936;19;1037 
1936;20;1037 
1936;21;1037 
1936;21;1037 
1936;22;1037 
2088;22;1037 
2227;22;1037 
2298;23;937 
2305;24;937 
2468;24;937 
2157;25;937 
1864;26;937 
1761;26;937 
2471;26;937 
2471;27;886 
2471;27;886 
2471;28;886 
2471;29;886 
2471;30;886 
2212;30;886 
2367;30;886 
2264;31;871 
2241;31;871 
1888;32;871 
2043;33;871 
2122;33;871 
2033;34;871 
2087;34;871 
2087;35;846 
2081;35;846 
2275;36;846 
2060;37;846 
2258;38;846 
2062;38;846 
2574;38;846 
2574;39;800 
2574;40;800 
1902;41;800 
2071;41;800 
2097;42;800 
2135;42;800 
2484;43;727 
1985;44;727 
2020;45;727 
1965;45;727 
1659;46;727 
1659;46;727 
1659;47;696 
1659;48;696 
1659;49;696 
2170;49;696 
2103;50;696 
2243;50;696 
2394;51;739 
1909;52;739 
1758;52;739 
2124;53;739 
1916;54;739 
2195;54;739 
2195;55;752 
2195;55;752 
2195;56;752 
2195;57;752 
1989;58;752 
2479;58;752 
2491;59;699 
2164;60;699 
2086;61;699 
1972;62;699 
2412;62;699 
2254;63;641 
1962;63;641 
2083;64;641 
1986;65;641 
2130;66;641 
2093;66;641 
1510;67;617 
1880;68;617 
2269;69;617 
2269;70;617 
2269;70;617 
2269;71;644 
2117;72;644 
2081;73;644 
2125;74;644 
2281;74;644 
2082;75;661 
2123;75;661 
1910;76;661 
2179;77;661 
2065;78;661 
2065;78;661 
2065;79;632 
2065;80;632 
2065;81;632 
2052;82;632 
2271;82;632 
2319;83;596 
2407;84;596 
2274;85;596 
1811;86;596 
2047;87;566 
1867;88;566 
1877;89;566 
1877;90;566 
1877;90;566 
1877;91;581 
2088;92;581 
2080;93;581 
2088;94;581 
2449;94;581 
2360;95;585 
2360;96;585 
1918;97;585 
2018;98;585 
2406;98;585 
2059;99;562 
2180;100;562 
2013;101;562 
2112;102;562 
1955;103;536 
1931;104;536 
2019;105;536 
2019;106;536 
2019;106;536 
2019;107;518 
2019;109;518 
1876;110;518 
2322;110;518 
2069;111;528 
2134;112;528 
1960;113;528 
1574;114;528 
1879;115;530 
1653;116;530 
1747;117;530 
1747;118;530 
1747;118;530 
1747;119;519 
1747;121;519 
2213;122;519 
1889;122;519 
2014;123;502 
2086;124;502 
1982;126;502 
2123;126;502 
1660;127;484 
1743;128;484 
1979;130;484 
1979;130;484 
1979;131;484 
2522;132;484 
2165;134;484 
2180;134;484 
2198;135;482 
2176;136;482 
2176;138;482 
2176;138;482 
1938;139;477 
2021;140;477 
2012;142;477 
1918;142;477 
1873;143;474 
1919;144;474 
1669;146;474 
2109;146;474 
1549;147;467 
1549;149;467 
1549;150;467 
1549;150;467 
1549;151;471 
1549;153;471 
2009;154;471 
2261;154;471 
2049;155;467 
1878;157;467 
1664;158;467 
2148;159;457 
1730;160;457 
1575;161;457 
1904;162;457 
1904;163;451 
1904;164;451 
1904;165;451 
2585;166;451 
1587;167;445 
2175;169;445 
2015;170;445 
2245;170;445 
2023;172;448 
2008;173;448 
